"Story","Title","Result","Date","Stability","Duration (s)"
"BusinessUnit creation","Successful login with valid credentials","SUCCESS","2024-11-06T10:46:40.3460248-05:00[America/Bogota]","0.0","17.19"
"BusinessUnit creation","Successful creation of a business unit","SUCCESS","2024-11-06T10:46:57.6426532-05:00[America/Bogota]","0.0","11.46"
"Meeting creation","Successful login with valid credentials","SUCCESS","2024-11-06T10:44:38.5523515-05:00[America/Bogota]","0.0","26.96"
"Meeting creation","Successful creation of a new meeting","SUCCESS","2024-11-06T10:45:05.6320115-05:00[America/Bogota]","0.0","24.57"
"Successful login on serenity's  website","Successful login with valid credentials","SUCCESS","2024-11-04T18:00:03.5107444-05:00[America/Bogota]","0.0","29.98"
